Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,YearsAtCompany
34,Yes,Travel_Rarely,Human Resources,9,Technical Degree,1,Female,3,1,Human Resources,3,2742,1,No,15,3,2
42,No,Travel_Rarely,Research & Development,2,Medical,3,Male,2,1,Laboratory Technician,2,4841,4,No,14,3,1
29,Yes,Travel_Rarely,Research & Development,8,Other,2,Male,1,1,Laboratory Technician,1,2119,1,Yes,11,3,7
60,No,Travel_Frequently,Sales,28,Marketing,3,Female,2,3,Sales Executive,1,10266,4,No,19,3,18
30,No,Non-Travel,Research & Development,7,Technical Degree,3,Male,3,1,Research Scientist,3,1274,1,No,13,3,1
27,Yes,Travel_Frequently,Human Resources,22,Human Resources,1,Female,2,1,Human Resources,2,2863,1,No,12,3,1
34,Yes,Travel_Frequently,Research & Development,9,Life Sciences,4,Male,3,2,Laboratory Technician,1,5346,4,No,17,3,7
47,No,Non-Travel,Sales,2,Marketing,3,Male,3,2,Sales Executive,2,4978,7,No,11,3,1
33,No,Travel_Rarely,Human Resources,3,Human Resources,4,Male,3,1,Human Resources,2,2277,3,Yes,11,3,4
18,No,Travel_Rarely,Sales,10,Medical,4,Female,2,1,Sales Representative,3,1200,1,No,12,3,0
34,No,Travel_Frequently,Human Resources,11,Life Sciences,3,Male,2,2,Human Resources,2,4490,4,No,11,3,10
39,No,Travel_Rarely,Research & Development,3,Medical,3,Male,2,2,Laboratory Technician,3,3069,0,No,15,3,10
24,Yes,Travel_Rarely,Research & Development,17,Life Sciences,4,Female,3,1,Laboratory Technician,2,2210,1,No,13,3,1
35,No,Travel_Frequently,Research & Development,18,Life Sciences,3,Male,3,3,Manufacturing Director,4,9362,2,No,11,3,2
50,Yes,Travel_Frequently,Sales,8,Technical Degree,2,Male,3,2,Sales Executive,3,6796,3,Yes,14,3,4
32,Yes,Travel_Frequently,Research & Development,5,Life Sciences,1,Female,4,1,Research Scientist,3,2432,3,Yes,14,3,4
27,No,Travel_Frequently,Research & Development,2,Medical,4,Male,3,1,Research Scientist,4,2580,2,No,13,3,4
53,No,Travel_Rarely,Sales,2,Medical,3,Male,3,4,Manager,3,14852,6,No,13,3,17
31,Yes,Travel_Frequently,Sales,2,Life Sciences,3,Female,2,1,Sales Representative,4,2785,7,No,14,3,1
20,Yes,Travel_Rarely,Research & Development,11,Medical,4,Female,2,1,Research Scientist,1,2600,1,Yes,15,3,1
38,No,Non-Travel,Sales,2,Life Sciences,4,Male,2,2,Sales Executive,4,5249,3,No,18,3,8
45,No,Travel_Rarely,Sales,4,Life Sciences,3,Female,3,2,Sales Executive,1,5006,4,Yes,11,3,5
26,Yes,Non-Travel,Sales,29,Medical,2,Male,1,2,Sales Executive,1,4969,8,No,18,3,2
20,Yes,Travel_Rarely,Sales,2,Medical,3,Female,2,1,Sales Representative,3,2044,1,No,13,3,2
19,Yes,Travel_Rarely,Sales,22,Marketing,4,Male,3,1,Sales Representative,3,1675,1,Yes,19,3,0
44,Yes,Travel_Rarely,Research & Development,10,Life Sciences,3,Male,3,1,Research Scientist,3,2936,1,Yes,11,3,6
30,Yes,Travel_Rarely,Research & Development,3,Technical Degree,4,Female,3,1,Research Scientist,1,2657,5,Yes,11,3,5
26,Yes,Travel_Rarely,Sales,4,Marketing,4,Male,2,2,Sales Executive,4,5828,1,Yes,12,3,8
39,No,Travel_Rarely,Sales,2,Life Sciences,1,Male,4,3,Sales Executive,3,7880,0,No,18,3,8
31,Yes,Travel_Frequently,Research & Development,15,Medical,3,Male,3,1,Laboratory Technician,3,2610,1,No,12,3,2
29,No,Travel_Rarely,Research & Development,6,Medical,2,Female,3,1,Laboratory Technician,4,3131,1,No,13,3,10
45,No,Travel_Rarely,Research & Development,7,Life Sciences,2,Male,3,3,Research Scientist,1,9724,2,No,17,3,1
29,Yes,Travel_Rarely,Sales,1,Medical,2,Female,2,1,Sales Representative,3,2800,6,Yes,19,3,3
21,No,Travel_Rarely,Research & Development,3,Medical,4,Male,2,1,Research Scientist,3,3230,1,No,17,3,3
39,No,Travel_Rarely,Research & Development,10,Medical,2,Male,3,2,Manufacturing Director,1,5377,2,No,13,3,7
39,No,Non-Travel,Sales,21,Life Sciences,1,Female,1,2,Sales Executive,3,5736,6,No,19,3,3
45,No,Travel_Rarely,Sales,20,Life Sciences,4,Female,3,2,Sales Executive,3,4850,8,No,15,3,5
38,No,Travel_Frequently,Human Resources,10,Human Resources,3,Male,3,2,Human Resources,3,6077,3,No,11,3,6
33,No,Travel_Rarely,Research & Development,1,Other,3,Male,2,1,Research Scientist,1,2799,3,Yes,11,3,3
29,No,Travel_Rarely,Research & Development,9,Life Sciences,3,Male,4,1,Research Scientist,3,2451,6,No,18,3,1
36,No,Travel_Rarely,Research & Development,27,Medical,3,Male,3,2,Healthcare Representative,3,5237,6,No,13,3,7
31,Yes,Travel_Frequently,Research & Development,3,Life Sciences,4,Female,3,1,Research Scientist,3,4084,1,No,12,3,7
28,No,Non-Travel,Human Resources,1,Life Sciences,3,Male,3,1,Human Resources,4,2706,1,No,15,3,3
37,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Female,3,2,Manufacturing Director,2,6447,6,No,12,3,6
21,Yes,Travel_Frequently,Sales,1,Technical Degree,1,Female,2,1,Sales Representative,2,2174,1,Yes,11,3,3
46,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,3,3,Manufacturing Director,4,8578,3,No,14,3,9
44,No,Non-Travel,Research & Development,23,Medical,2,Male,3,2,Laboratory Technician,2,2042,4,No,12,3,3
42,No,Travel_Frequently,Research & Development,5,Other,2,Male,3,1,Laboratory Technician,3,2093,4,No,17,3,2
28,Yes,Travel_Rarely,Research & Development,17,Technical Degree,3,Male,2,1,Laboratory Technician,4,2367,5,No,12,3,4
39,No,Travel_Rarely,Research & Development,1,Medical,3,Male,4,3,Healthcare Representative,4,9613,0,No,17,3,18
36,Yes,Travel_Rarely,Research & Development,9,Medical,4,Male,2,1,Research Scientist,3,3388,0,Yes,17,3,1
60,No,Travel_Rarely,Sales,7,Marketing,2,Male,4,2,Sales Executive,4,5220,0,Yes,18,3,11
29,Yes,Travel_Frequently,Research & Development,14,Other,3,Female,3,3,Healthcare Representative,4,7553,0,Yes,12,3,8
33,No,Travel_Rarely,Research & Development,14,Medical,4,Female,3,1,Research Scientist,2,2756,1,No,13,3,8
32,Yes,Travel_Frequently,Research & Development,5,Life Sciences,1,Female,4,1,Research Scientist,3,2432,3,Yes,14,3,4
22,Yes,Travel_Rarely,Research & Development,3,Life Sciences,2,Female,3,2,Manufacturing Director,3,4171,0,Yes,19,3,3
48,No,Travel_Rarely,Sales,2,Marketing,2,Female,3,2,Sales Executive,4,4051,2,No,14,3,9
26,Yes,Travel_Rarely,Sales,4,Marketing,4,Male,2,2,Sales Executive,4,5828,1,Yes,12,3,8
28,Yes,Travel_Rarely,Research & Development,1,Life Sciences,1,Female,1,1,Research Scientist,2,2216,7,Yes,13,3,7
52,No,Non-Travel,Research & Development,19,Medical,4,Male,3,1,Research Scientist,4,4258,0,No,18,3,4
38,No,Travel_Frequently,Research & Development,29,Life Sciences,4,Female,3,2,Laboratory Technician,4,2406,1,No,11,3,10
29,Yes,Travel_Rarely,Research & Development,1,Life Sciences,2,Female,2,1,Laboratory Technician,1,2319,1,Yes,11,3,1
35,No,Travel_Rarely,Sales,18,Medical,3,Female,3,2,Sales Executive,3,4601,1,No,16,3,5
44,Yes,Travel_Rarely,Research & Development,15,Medical,1,Female,3,3,Healthcare Representative,4,7978,1,No,11,3,10
21,Yes,Travel_Rarely,Research & Development,18,Other,4,Female,3,1,Research Scientist,4,2693,1,No,19,3,1
39,No,Travel_Frequently,Research & Development,4,Medical,1,Female,3,2,Manufacturing Director,3,5042,0,No,13,3,9
34,No,Travel_Rarely,Sales,8,Life Sciences,3,Female,3,2,Sales Executive,1,6500,5,No,17,3,3
34,No,Travel_Frequently,Research & Development,22,Other,3,Male,2,2,Research Scientist,4,5747,1,Yes,15,3,15
28,Yes,Travel_Frequently,Sales,1,Technical Degree,1,Male,3,1,Sales Representative,3,2909,3,No,15,3,3
31,Yes,Travel_Rarely,Sales,20,Life Sciences,2,Female,1,2,Sales Executive,3,4559,3,Yes,11,3,2
54,No,Travel_Rarely,Research & Development,8,Life Sciences,3,Female,3,2,Laboratory Technician,3,3780,7,No,11,3,1
42,No,Travel_Rarely,Research & Development,8,Life Sciences,4,Male,3,1,Laboratory Technician,3,3968,4,No,13,3,0
38,Yes,Travel_Rarely,Research & Development,2,Medical,3,Male,3,2,Manufacturing Director,2,4855,4,No,11,3,5
46,No,Travel_Rarely,Research & Development,18,Medical,3,Female,3,2,Manufacturing Director,3,4810,2,No,14,3,10
36,No,Travel_Rarely,Research & Development,12,Medical,4,Female,2,3,Manufacturing Director,4,8858,0,No,11,3,14
35,No,Travel_Rarely,Sales,1,Medical,1,Female,3,2,Sales Executive,3,4859,1,No,16,3,5
31,Yes,Travel_Rarely,Human Resources,18,Human Resources,4,Male,4,1,Human Resources,1,2956,0,No,17,3,1
30,No,Non-Travel,Research & Development,9,Medical,3,Male,3,2,Laboratory Technician,1,3072,1,No,11,3,12
24,Yes,Travel_Rarely,Human Resources,22,Human Resources,4,Male,1,1,Human Resources,3,1555,1,No,11,3,1
36,No,Travel_Frequently,Research & Development,18,Life Sciences,3,Male,4,1,Laboratory Technician,4,3688,4,No,18,3,1
25,No,Travel_Rarely,Sales,18,Life Sciences,1,Male,4,2,Sales Executive,3,6232,2,No,11,3,3
32,No,Travel_Rarely,Research & Development,9,Life Sciences,1,Female,3,2,Research Scientist,4,6322,1,Yes,12,3,6
36,No,Travel_Rarely,Research & Development,8,Technical Degree,3,Female,3,3,Healthcare Representative,3,10096,1,No,13,3,17
53,No,Travel_Rarely,Sales,7,Marketing,1,Female,2,3,Sales Executive,4,10934,7,Yes,18,3,5
29,Yes,Travel_Frequently,Research & Development,14,Other,3,Female,3,3,Healthcare Representative,4,7553,0,Yes,12,3,8
28,Yes,Travel_Frequently,Sales,1,Technical Degree,1,Male,3,1,Sales Representative,3,2909,3,No,15,3,3
26,Yes,Travel_Rarely,Research & Development,25,Life Sciences,1,Male,1,1,Laboratory Technician,3,2293,1,No,12,3,1
31,Yes,Travel_Frequently,Sales,1,Life Sciences,4,Female,3,1,Sales Representative,2,2302,1,Yes,11,3,3
20,Yes,Travel_Rarely,Research & Development,4,Technical Degree,1,Male,3,1,Laboratory Technician,1,2973,1,No,19,3,1
33,No,Travel_Rarely,Research & Development,1,Medical,1,Female,4,4,Research Director,3,16184,4,No,19,3,6
31,No,Travel_Rarely,Sales,7,Life Sciences,2,Male,2,1,Sales Representative,3,2329,3,No,15,3,7
18,Yes,Non-Travel,Research & Development,8,Medical,3,Male,3,1,Laboratory Technician,3,1904,1,No,12,3,0
38,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Female,4,2,Healthcare Representative,4,7625,0,No,13,3,9
40,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,2,1,Research Scientist,3,2809,2,No,14,3,2
31,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,2,1,Laboratory Technician,1,2218,1,No,12,3,4
40,Yes,Travel_Rarely,Research & Development,7,Life Sciences,1,Male,3,1,Laboratory Technician,1,2166,3,Yes,14,3,4
59,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,2,1,Research Scientist,4,2177,3,No,17,3,1
32,No,Travel_Rarely,Sales,8,Technical Degree,3,Female,2,2,Sales Executive,2,5228,1,Yes,11,3,13
42,Yes,Travel_Frequently,Research & Development,19,Medical,3,Male,4,1,Research Scientist,3,2759,6,Yes,12,3,2
38,No,Travel_Frequently,Research & Development,12,Life Sciences,1,Male,2,2,Healthcare Representative,1,6288,2,No,15,3,4
39,Yes,Travel_Rarely,Sales,5,Technical Degree,4,Male,3,2,Sales Representative,4,2086,3,No,14,3,1
38,No,Travel_Rarely,Research & Development,9,Life Sciences,3,Female,3,1,Laboratory Technician,4,2288,1,No,12,3,2
18,Yes,Non-Travel,Research & Development,8,Medical,3,Male,3,1,Laboratory Technician,3,1904,1,No,12,3,0
32,No,Travel_Rarely,Sales,7,Life Sciences,4,Male,2,2,Sales Executive,3,5484,1,No,14,3,13
36,No,Travel_Rarely,Sales,10,Technical Degree,2,Female,2,2,Sales Executive,3,5673,1,Yes,13,3,10
31,Yes,Travel_Frequently,Research & Development,3,Life Sciences,4,Female,3,1,Research Scientist,3,4084,1,No,12,3,7
31,No,Travel_Rarely,Research & Development,24,Medical,3,Female,2,2,Healthcare Representative,1,6812,1,No,19,3,10
37,No,Travel_Rarely,Research & Development,3,Other,4,Female,3,2,Healthcare Representative,2,4107,3,No,15,3,4
47,No,Travel_Rarely,Sales,14,Marketing,4,Male,3,2,Sales Executive,1,4960,2,No,12,3,7
40,Yes,Travel_Rarely,Sales,22,Marketing,3,Male,2,2,Sales Executive,3,6380,2,Yes,12,3,6
37,No,Travel_Rarely,Research & Development,1,Medical,3,Female,2,1,Research Scientist,1,3920,2,No,14,3,3
41,Yes,Travel_Rarely,Sales,1,Life Sciences,2,Female,3,2,Sales Executive,4,5993,8,Yes,11,3,6
32,No,Travel_Rarely,Research & Development,2,Medical,4,Male,3,2,Research Scientist,2,5470,0,No,13,3,9
20,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Female,2,1,Research Scientist,2,2836,1,No,13,3,1
32,No,Travel_Frequently,Sales,8,Marketing,2,Female,3,3,Sales Executive,4,8998,1,No,14,3,9
35,Yes,Travel_Rarely,Sales,27,Life Sciences,3,Male,3,2,Sales Executive,4,5813,1,Yes,18,3,10
30,No,Travel_Rarely,Research & Development,6,Technical Degree,1,Female,2,2,Laboratory Technician,4,4627,0,No,12,3,9
30,No,Travel_Rarely,Research & Development,28,Medical,4,Female,3,2,Research Scientist,4,5775,1,No,13,3,10
37,No,Travel_Rarely,Research & Development,25,Medical,3,Female,2,2,Healthcare Representative,4,5731,7,No,13,3,6
26,Yes,Non-Travel,Sales,29,Medical,2,Male,1,2,Sales Executive,1,4969,8,No,18,3,2
37,No,Non-Travel,Sales,9,Medical,1,Male,3,3,Sales Executive,2,8834,1,No,13,3,9
25,Yes,Travel_Rarely,Sales,5,Marketing,3,Male,2,2,Sales Executive,3,5744,1,Yes,11,3,6
43,No,Travel_Rarely,Research & Development,7,Life Sciences,3,Female,3,3,Healthcare Representative,1,9985,8,No,16,3,1
37,Yes,Travel_Frequently,Research & Development,10,Medical,1,Male,3,3,Manufacturing Director,3,10048,6,No,11,3,1
40,No,Non-Travel,Sales,28,Other,3,Male,1,3,Sales Executive,1,10932,3,No,15,3,1
31,Yes,Travel_Frequently,Research & Development,29,Medical,3,Male,2,1,Laboratory Technician,2,3479,0,No,11,3,5
28,No,Non-Travel,Sales,4,Medical,2,Male,3,2,Sales Executive,3,4221,1,No,15,3,5
21,Yes,Travel_Rarely,Sales,12,Life Sciences,3,Female,4,1,Sales Representative,2,2716,1,No,15,3,1
58,Yes,Travel_Rarely,Research & Development,7,Medical,3,Female,2,3,Manufacturing Director,1,10008,7,Yes,14,3,10
32,Yes,Travel_Rarely,Sales,1,Life Sciences,1,Male,1,2,Sales Executive,2,6735,6,No,15,3,0
23,No,Travel_Rarely,Research & Development,26,Life Sciences,3,Male,3,1,Research Scientist,4,2904,1,No,12,3,4
25,Yes,Travel_Rarely,Sales,19,Marketing,3,Male,2,1,Sales Representative,2,2413,1,Yes,18,3,1
50,Yes,Travel_Frequently,Sales,1,Other,4,Male,3,2,Sales Executive,3,4728,3,Yes,14,3,0
31,No,Travel_Rarely,Research & Development,2,Life Sciences,2,Male,3,1,Laboratory Technician,3,3477,1,No,14,3,5
41,Yes,Travel_Rarely,Research & Development,2,Life Sciences,2,Female,1,1,Laboratory Technician,4,2778,4,Yes,13,3,7
29,Yes,Travel_Rarely,Research & Development,1,Life Sciences,2,Female,2,1,Laboratory Technician,1,2319,1,Yes,11,3,1
35,No,Travel_Rarely,Research & Development,10,Medical,1,Female,3,2,Healthcare Representative,3,6142,3,Yes,16,3,5
40,Yes,Travel_Rarely,Sales,25,Marketing,4,Male,2,3,Sales Executive,2,9094,2,Yes,12,3,5
50,No,Travel_Rarely,Sales,8,Marketing,4,Male,3,1,Sales Representative,2,3875,7,No,15,3,2
43,Yes,Travel_Rarely,Sales,9,Marketing,1,Female,1,2,Sales Executive,3,5346,8,No,13,3,4
18,Yes,Travel_Frequently,Sales,3,Medical,2,Female,3,1,Sales Representative,4,1569,1,Yes,12,3,0
26,No,Travel_Rarely,Research & Development,2,Medical,4,Male,4,2,Manufacturing Director,4,5472,1,No,12,3,8
37,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Female,2,2,Manufacturing Director,4,6474,1,No,13,3,14
20,Yes,Travel_Frequently,Sales,9,Marketing,4,Female,3,1,Sales Representative,4,2323,1,Yes,14,3,2
34,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,2,1,Research Scientist,3,2768,3,No,12,3,7
31,No,Travel_Rarely,Sales,7,Marketing,4,Male,3,2,Sales Executive,4,7547,4,No,12,3,7
29,Yes,Travel_Frequently,Sales,24,Technical Degree,3,Male,4,1,Sales Representative,1,1091,1,No,17,3,1
49,Yes,Travel_Rarely,Sales,11,Marketing,3,Female,3,3,Sales Executive,4,7654,1,No,18,3,9
41,No,Non-Travel,Research & Development,2,Other,1,Female,2,2,Healthcare Representative,3,6811,2,Yes,17,3,8
36,Yes,Travel_Rarely,Research & Development,9,Medical,4,Male,2,1,Research Scientist,3,3388,0,Yes,17,3,1
38,No,Travel_Rarely,Research & Development,10,Medical,3,Female,3,2,Healthcare Representative,3,9824,3,No,19,3,1
22,Yes,Travel_Frequently,Research & Development,4,Technical Degree,3,Male,2,1,Laboratory Technician,3,3894,5,No,16,3,2
29,Yes,Travel_Rarely,Research & Development,18,Medical,3,Male,2,1,Research Scientist,4,2389,1,Yes,13,3,4
33,Yes,Travel_Rarely,Sales,16,Marketing,1,Female,3,2,Sales Executive,1,5324,5,No,15,3,3
19,Yes,Travel_Rarely,Human Resources,2,Technical Degree,1,Male,2,1,Human Resources,4,2564,1,No,12,3,1
24,Yes,Travel_Rarely,Sales,1,Technical Degree,1,Female,3,1,Sales Representative,2,3202,1,Yes,16,3,5
20,No,Travel_Rarely,Sales,2,Medical,3,Female,3,1,Sales Representative,3,2783,1,No,19,3,2
21,Yes,Travel_Rarely,Sales,12,Life Sciences,3,Female,4,1,Sales Representative,2,2716,1,No,15,3,1
44,Yes,Travel_Frequently,Research & Development,1,Medical,3,Male,3,1,Research Scientist,2,2342,1,Yes,12,3,5
56,Yes,Travel_Rarely,Research & Development,7,Technical Degree,4,Male,3,1,Laboratory Technician,3,2339,8,No,11,3,10
38,No,Travel_Rarely,Sales,16,Life Sciences,2,Female,3,2,Sales Executive,2,4198,2,No,12,3,3
29,Yes,Travel_Frequently,Sales,13,Technical Degree,1,Female,3,2,Sales Executive,2,5765,5,No,11,3,5
28,Yes,Travel_Rarely,Research & Development,24,Life Sciences,3,Male,2,1,Laboratory Technician,3,2028,5,Yes,14,3,4
40,Yes,Travel_Rarely,Sales,22,Marketing,3,Male,2,2,Sales Executive,3,6380,2,Yes,12,3,6
29,No,Travel_Rarely,Research & Development,15,Life Sciences,3,Male,3,1,Research Scientist,4,2340,1,No,19,3,6
31,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,3,1,Research Scientist,4,2695,0,Yes,18,3,2
36,No,Travel_Rarely,Research & Development,7,Other,2,Male,3,1,Research Scientist,4,4678,2,No,18,3,6
27,No,Travel_Frequently,Sales,8,Life Sciences,4,Male,3,3,Sales Executive,3,8726,1,No,15,3,9
58,No,Non-Travel,Research & Development,1,Life Sciences,4,Male,1,2,Healthcare Representative,3,5660,2,Yes,13,3,5
34,No,Travel_Rarely,Research & Development,19,Medical,2,Male,3,1,Laboratory Technician,4,2661,0,No,11,3,2
26,Yes,Travel_Rarely,Sales,4,Marketing,4,Male,2,2,Sales Executive,4,5828,1,Yes,12,3,8
42,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,4,2,Laboratory Technician,4,5231,2,Yes,13,3,5
30,No,Travel_Rarely,Sales,8,Other,3,Male,3,3,Sales Executive,3,7264,5,No,11,3,8
35,No,Travel_Rarely,Research & Development,28,Life Sciences,2,Male,4,2,Laboratory Technician,3,3407,1,No,17,3,10
32,No,Travel_Rarely,Sales,10,Marketing,4,Male,3,2,Sales Executive,4,5396,1,No,12,3,10
22,Yes,Travel_Rarely,Research & Development,8,Medical,3,Female,3,1,Laboratory Technician,1,2398,1,Yes,17,3,1
30,No,Non-Travel,Sales,22,Other,3,Female,3,3,Sales Executive,1,8412,0,No,11,3,9
29,No,Travel_Rarely,Research & Development,29,Life Sciences,4,Male,1,2,Healthcare Representative,3,6384,8,No,17,3,7
25,Yes,Travel_Rarely,Research & Development,3,Medical,1,Male,3,1,Laboratory Technician,1,4031,5,No,13,3,2
46,No,Travel_Rarely,Research & Development,2,Technical Degree,4,Male,3,2,Manufacturing Director,4,7379,2,No,11,3,6
44,No,Travel_Frequently,Human Resources,1,Human Resources,1,Male,3,2,Human Resources,4,5743,4,Yes,11,3,10
45,No,Travel_Rarely,Sales,2,Technical Degree,2,Male,1,2,Sales Representative,3,6632,0,No,13,3,8
26,Yes,Non-Travel,Sales,29,Medical,2,Male,1,2,Sales Executive,1,4969,8,No,18,3,2
38,Yes,Travel_Rarely,Research & Development,29,Medical,2,Male,3,2,Healthcare Representative,1,6673,7,Yes,19,3,1
28,Yes,Travel_Frequently,Sales,1,Technical Degree,1,Male,3,1,Sales Representative,3,2909,3,No,15,3,3
20,Yes,Travel_Frequently,Sales,9,Marketing,4,Female,3,1,Sales Representative,4,2323,1,Yes,14,3,2
25,Yes,Travel_Frequently,Sales,24,Life Sciences,3,Male,1,1,Sales Representative,4,1118,1,Yes,14,3,1
42,No,Travel_Rarely,Research & Development,2,Medical,4,Female,2,1,Laboratory Technician,1,2593,0,Yes,11,3,9
35,No,Travel_Rarely,Research & Development,5,Technical Degree,3,Male,3,3,Manufacturing Director,2,8095,0,No,13,3,16
26,Yes,Travel_Rarely,Human Resources,20,Medical,4,Female,3,1,Human Resources,2,2148,0,Yes,11,3,5
21,No,Travel_Rarely,Research & Development,5,Medical,3,Male,3,1,Research Scientist,4,3117,1,No,18,3,2
30,Yes,Travel_Frequently,Research & Development,5,Medical,2,Female,3,1,Laboratory Technician,2,2422,0,No,17,3,3
23,Yes,Travel_Rarely,Research & Development,8,Medical,4,Male,2,1,Laboratory Technician,3,3989,1,Yes,11,3,5
28,Yes,Travel_Rarely,Research & Development,24,Life Sciences,3,Male,2,1,Laboratory Technician,3,2028,5,Yes,14,3,4
28,No,Travel_Rarely,Sales,5,Medical,1,Male,3,2,Sales Executive,4,4908,1,No,14,3,4
34,Yes,Travel_Frequently,Sales,6,Marketing,4,Female,1,1,Sales Representative,3,2351,0,No,16,3,2
28,Yes,Travel_Rarely,Research & Development,17,Technical Degree,3,Male,2,1,Laboratory Technician,4,2367,5,No,12,3,4
32,Yes,Travel_Frequently,Research & Development,5,Life Sciences,1,Female,4,1,Research Scientist,3,2432,3,Yes,14,3,4
32,Yes,Travel_Rarely,Sales,4,Medical,4,Male,1,3,Sales Executive,4,10400,1,No,11,3,14
33,Yes,Travel_Rarely,Research & Development,1,Other,4,Male,3,1,Research Scientist,4,2686,1,Yes,13,3,10
30,Yes,Travel_Frequently,Sales,26,Marketing,3,Female,2,2,Sales Executive,1,6696,5,No,15,3,6
28,Yes,Travel_Frequently,Research & Development,2,Medical,3,Male,2,1,Laboratory Technician,1,2561,7,No,11,3,0
56,Yes,Travel_Rarely,Research & Development,24,Life Sciences,1,Male,3,1,Laboratory Technician,4,2587,1,No,16,3,4
42,No,Travel_Rarely,Research & Development,29,Medical,2,Male,1,2,Laboratory Technician,4,4272,4,No,19,3,1
26,Yes,Non-Travel,Sales,29,Medical,2,Male,1,2,Sales Executive,1,4969,8,No,18,3,2
36,Yes,Travel_Rarely,Sales,3,Life Sciences,3,Male,2,3,Sales Executive,4,10325,1,Yes,11,3,16
29,No,Travel_Rarely,Sales,10,Marketing,4,Female,2,2,Sales Executive,2,8268,1,Yes,14,3,7
56,Yes,Travel_Rarely,Research & Development,24,Life Sciences,1,Male,3,1,Laboratory Technician,4,2587,1,No,16,3,4
31,Yes,Travel_Rarely,Research & Development,22,Medical,4,Male,3,2,Manufacturing Director,3,6179,1,Yes,15,3,10
23,No,Travel_Rarely,Research & Development,10,Medical,1,Male,4,1,Research Scientist,3,3505,1,No,18,3,2
31,Yes,Travel_Rarely,Sales,6,Life Sciences,2,Male,1,2,Sales Executive,3,6172,4,Yes,18,3,7
40,No,Travel_Rarely,Research & Development,12,Life Sciences,2,Female,3,2,Healthcare Representative,1,4448,2,No,12,3,7
22,Yes,Travel_Frequently,Research & Development,4,Technical Degree,3,Male,2,1,Laboratory Technician,3,3894,5,No,16,3,2
19,Yes,Travel_Rarely,Sales,22,Marketing,4,Male,3,1,Sales Representative,3,1675,1,Yes,19,3,0
43,No,Travel_Frequently,Research & Development,28,Medical,2,Female,4,1,Research Scientist,3,4739,4,No,12,3,3
47,No,Travel_Rarely,Sales,4,Life Sciences,4,Female,3,2,Sales Executive,4,4163,1,Yes,17,3,9
30,Yes,Travel_Rarely,Research & Development,22,Life Sciences,1,Female,3,1,Research Scientist,3,2132,4,Yes,11,3,5
32,No,Travel_Rarely,Research & Development,2,Medical,1,Female,4,2,Research Scientist,4,5055,7,No,16,3,7
20,Yes,Travel_Rarely,Research & Development,11,Medical,4,Female,2,1,Research Scientist,1,2600,1,Yes,15,3,1
31,No,Travel_Rarely,Research & Development,12,Medical,4,Female,3,2,Healthcare Representative,4,5855,0,Yes,11,3,9
38,No,Non-Travel,Human Resources,2,Human Resources,1,Male,3,1,Human Resources,2,2592,5,No,13,3,11
36,No,Travel_Rarely,Research & Development,26,Life Sciences,1,Male,3,2,Healthcare Representative,3,5347,6,No,14,3,3
45,No,Travel_Rarely,Research & Development,2,Life Sciences,2,Female,2,1,Research Scientist,3,2274,1,No,14,3,1
29,No,Travel_Rarely,Research & Development,8,Other,3,Female,1,2,Healthcare Representative,1,9715,3,No,13,3,7
22,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,3,1,Research Scientist,3,3375,0,No,12,3,3
31,Yes,Travel_Frequently,Research & Development,1,Life Sciences,3,Female,4,3,Manufacturing Director,2,7446,1,No,11,3,10
50,Yes,Travel_Rarely,Sales,28,Marketing,4,Male,2,3,Sales Executive,1,10854,4,Yes,13,3,3
26,No,Travel_Rarely,Sales,23,Marketing,3,Female,2,2,Sales Executive,4,4157,7,Yes,19,3,2
44,Yes,Travel_Rarely,Research & Development,10,Life Sciences,3,Male,3,1,Research Scientist,3,2936,1,Yes,11,3,6
29,No,Travel_Rarely,Research & Development,7,Medical,1,Female,2,1,Laboratory Technician,4,2532,6,No,14,3,4
35,No,Travel_Rarely,Research & Development,22,Life Sciences,2,Female,4,3,Manager,2,11996,7,No,18,3,7
56,No,Travel_Rarely,Sales,11,Marketing,4,Female,2,2,Sales Executive,1,5380,4,No,16,3,0
19,Yes,Travel_Rarely,Human Resources,2,Technical Degree,1,Male,2,1,Human Resources,4,2564,1,No,12,3,1
56,Yes,Travel_Rarely,Research & Development,24,Life Sciences,1,Male,3,1,Laboratory Technician,4,2587,1,No,16,3,4
21,No,Travel_Rarely,Sales,22,Technical Degree,3,Male,3,1,Sales Representative,3,3447,1,No,11,3,3
